station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PAFA,2020-01-02 07:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.54,1001.80,6.00,M,BKN,OVC,M,M,7000.00,8500.00,M,M,-SN BR,M,M,M,M,M,M,-2.90,PAFA 020753Z 00000KT 6SM -SN BR BKN070 OVC085 M19/M23 A2954 RMK AO2 SLP018 T11941228,M
PAFA,2020-01-02 08:53,-3.00,-9.00,74.47,0.00,0.00,0.00,29.55,1002.20,9.00,M,BKN,OVC,M,M,4000.00,8000.00,M,M,-SN,M,M,M,M,M,M,-2.90,PAFA 020853Z 00000KT 9SM -SN BKN040 OVC080 M19/M23 A2955 RMK AO2 SLP022 T11941228 411721194 51022,M
PAFA,2020-01-02 09:53,-4.00,-9.90,75.09,0.00,0.00,0.00,29.57,1002.90,9.00,M,BKN,OVC,M,M,5000.00,9500.00,M,M,-SN,M,M,M,M,M,M,-4.00,PAFA 020953Z 00000KT 9SM -SN BKN050 OVC095 M20/M23 A2957 RMK AO2 SLP029 T12001233,M
PAFA,2020-01-02 10:53,-4.00,-9.00,78.48,0.00,0.00,0.00,29.60,1003.70,9.00,M,SCT,BKN,OVC,M,5000.00,8000.00,10000.00,M,-SN,M,M,M,M,M,M,-4.00,PAFA 021053Z 00000KT 9SM -SN SCT050 BKN080 OVC100 M20/M23 A2960 RMK AO2 SLP037 PCPN VRY LGT T12001228,M
PAFA,2020-01-02 11:53,-4.00,-9.90,75.09,0.00,0.00,0.00,29.61,1004.10,9.00,M,SCT,BKN,OVC,M,5000.00,7000.00,10000.00,M,-SN,M,M,M,M,M,M,-4.00,PAFA 021153Z 00000KT 9SM -SN SCT050 BKN070 OVC100 M20/M23 A2961 RMK AO2 SLP041 PCPN VRY LGT T12001233 11194 21200 51019,M
PAFA,2020-01-02 12:53,-5.00,-11.00,74.97,180.00,3.00,0.00,29.61,1004.30,9.00,M,SCT,BKN,OVC,M,5000.00,7000.00,10000.00,M,-SN,M,M,M,M,M,M,-13.72,PAFA 021253Z 18003KT 9SM -SN SCT050 BKN070 OVC100 M21/M24 A2961 RMK AO2 SLP043 PCPN VRY LGT T12061239,M
PAFA,2020-01-02 13:53,-5.00,-11.00,74.97,0.00,0.00,0.00,29.62,1004.70,10.00,M,SCT,BKN,OVC,M,5000.00,7000.00,11000.00,M,M,M,M,M,M,M,M,-5.10,PAFA 021353Z 00000KT 10SM SCT050 BKN070 OVC110 M21/M24 A2962 RMK AO2 SNE36 SLP047 T12061239,M
PAFA,2020-01-02 14:53,-6.00,-11.00,78.29,210.00,3.00,0.00,29.63,1005.00,10.00,M,SCT,BKN,OVC,M,5000.00,8000.00,10000.00,M,M,M,M,M,M,M,M,-14.75,PAFA 021453Z 21003KT 10SM SCT050 BKN080 OVC100 M21/M24 A2963 RMK AO2 SLP050 T12111239 53009,M
PAFA,2020-01-02 15:53,-8.00,-13.00,78.10,0.00,0.00,0.00,29.66,1005.90,10.00,M,SCT,BKN,OVC,M,5000.00,8000.00,11000.00,M,M,M,M,M,M,M,M,-8.00,PAFA 021553Z 00000KT 10SM SCT050 BKN080 OVC110 M22/M25 A2966 RMK AO2 SLP059 T12221250,M
PAFA,2020-01-02 16:53,-11.90,-16.10,80.95,0.00,0.00,0.00,29.66,1006.00,10.00,M,SCT,BKN,OVC,M,5000.00,8000.00,11000.00,M,M,M,M,M,M,M,M,-11.90,PAFA 021653Z 00000KT 10SM SCT050 BKN080 OVC110 M24/M27 A2966 RMK AO2 SLP060 T12441267,M
PAFA,2020-01-02 17:53,-11.00,-17.00,73.94,0.00,0.00,0.00,29.68,1006.70,10.00,M,FEW,BKN,BKN,M,5000.00,8000.00,11000.00,M,M,M,M,M,M,M,M,-11.00,PAFA 021753Z 00000KT 10SM FEW050 BKN080 BKN110 M24/M27 A2968 RMK AO2 SLP067 T12391272 11200 21250 51015,M
PAFA,2020-01-02 18:53,-14.10,-20.00,73.96,0.00,0.00,0.00,29.70,1007.50,10.00,M,FEW,SCT,BKN,M,5000.00,8000.00,11000.00,M,M,M,M,M,M,M,M,-14.10,PAFA 021853Z 00000KT 10SM FEW050 SCT080 BKN110 M26/M29 A2970 RMK AO2 SLP075 T12561289,M
PAFA,2020-01-02 19:53,-16.10,-20.90,78.10,0.00,0.00,0.00,29.71,1007.80,10.00,M,FEW,SCT,BKN,M,5000.00,8000.00,12000.00,M,M,M,M,M,M,M,M,-16.10,PAFA 021953Z 00000KT 10SM FEW050 SCT080 BKN120 M27/M29 A2971 RMK AO2 SLP078 T12671294,M
PAFA,2020-01-02 20:53,-13.00,-20.00,69.99,0.00,0.00,0.00,29.72,1008.00,10.00,M,SCT,BKN,M,M,8000.00,12000.00,M,M,M,M,M,M,M,M,M,-13.00,PAFA 022053Z 00000KT 10SM SCT080 BKN120 M25/M29 A2972 RMK AO2 SLP080 T12501289 51012,M
PAFA,2020-01-02 21:53,-9.90,-16.10,73.31,0.00,0.00,0.00,29.72,1008.00,10.00,M,SCT,BKN,M,M,8000.00,12000.00,M,M,M,M,M,M,M,M,M,-9.90,PAFA 022153Z 00000KT 10SM SCT080 BKN120 M23/M27 A2972 RMK AO2 SLP080 T12331267,M
PAFA,2020-01-02 22:53,-9.00,-15.00,74.16,0.00,0.00,0.00,29.72,1008.20,10.00,M,BKN,BKN,M,M,9000.00,12000.00,M,M,M,M,M,M,M,M,M,-9.00,PAFA 022253Z 00000KT 10SM BKN090 BKN120 M23/M26 A2972 RMK AO2 SLP082 T12281261,M
PAFA,2020-01-02 23:53,-7.00,-13.00,74.75,0.00,0.00,0.00,29.73,1008.30,10.00,M,BKN,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,-7.10,PAFA 022353Z 00000KT 10SM BKN095 BKN120 M22/M25 A2973 RMK AO2 SLP083 T12171250 11217 21267 52003,M
PAFA,2020-01-03 00:53,-7.00,-13.00,74.75,0.00,0.00,0.00,29.73,1008.40,10.00,M,BKN,BKN,M,M,9000.00,12000.00,M,M,M,M,M,M,M,M,M,-7.10,PAFA 030053Z 00000KT 10SM BKN090 BKN120 M22/M25 A2973 RMK AO2 SLP084 T12171250,M
PAFA,2020-01-03 01:53,-8.00,-13.00,78.10,0.00,0.00,0.00,29.73,1008.30,10.00,M,BKN,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,-8.00,PAFA 030153Z 00000KT 10SM BKN095 BKN120 M22/M25 A2973 RMK AO2 SLP083 T12221250,M
PAFA,2020-01-03 02:53,-8.00,-13.00,78.10,0.00,0.00,0.00,29.73,1008.40,10.00,M,BKN,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,-8.00,PAFA 030253Z 00000KT 10SM BKN095 BKN120 M22/M25 A2973 RMK AO2 SLP084 T12221250 51001,M
PAFA,2020-01-03 03:53,-7.00,-13.00,74.75,0.00,0.00,0.00,29.73,1008.50,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,-7.10,PAFA 030353Z 00000KT 10SM OVC100 M22/M25 A2973 RMK AO2 SLP085 T12171250,M
PAFA,2020-01-03 04:53,-6.00,-11.90,74.87,0.00,0.00,0.00,29.74,1008.90,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,-6.00,PAFA 030453Z 00000KT 10SM OVC100 M21/M24 A2974 RMK AO2 SLP089 T12111244,M
PAFA,2020-01-03 05:53,-5.00,-11.90,71.69,0.00,0.00,0.00,29.74,1008.90,10.00,M,BKN,OVC,M,M,8000.00,11000.00,M,M,M,M,M,M,M,M,M,-5.10,PAFA 030553Z 00000KT 10SM BKN080 OVC110 M21/M24 A2974 RMK AO2 SLP089 T12061244 11206 21228 51005,M
PAFA,2020-01-03 06:53,-4.00,-11.00,71.11,210.00,3.00,0.00,29.75,1009.10,8.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,-SN,M,M,M,M,M,M,-12.47,PAFA 030653Z 21003KT 8SM -SN BKN060 OVC075 M20/M24 A2975 RMK AO2 SNB43 SLP091 T12001239,M
PAFA,2020-01-03 07:53,-8.00,-14.10,73.90,0.00,0.00,0.00,29.75,1009.30,9.00,M,SCT,BKN,M,M,5500.00,6500.00,M,M,-SN,M,M,M,M,M,M,-8.00,PAFA 030753Z 00000KT 9SM -SN SCT055 BKN065 M22/M26 A2975 RMK AO2 SLP093 T12221256,M
PAFA,2020-01-03 08:53,-14.10,-18.90,78.30,0.00,0.00,0.00,29.75,1009.30,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,-14.10,PAFA 030853Z 00000KT 10SM BKN090 M26/M28 A2975 RMK AO2 SNE20 SLP093 T12561283 411941267 50002,M
PAFA,2020-01-03 09:53,-11.90,-17.00,77.32,0.00,0.00,0.00,29.76,1009.40,10.00,M,BKN,OVC,M,M,8500.00,11000.00,M,M,M,M,M,M,M,M,M,-11.90,PAFA 030953Z 00000KT 10SM BKN085 OVC110 M24/M27 A2976 RMK AO2 SLP094 T12441272,M
PAFA,2020-01-03 10:53,-9.90,-17.00,70.02,0.00,0.00,0.00,29.76,1009.50,4.00,M,SCT,OVC,M,M,4000.00,8500.00,M,M,-SN BR,M,M,M,M,M,M,-9.90,PAFA 031053Z 00000KT 4SM -SN BR SCT040 OVC085 M23/M27 A2976 RMK AO2 SNB23 SLP095 T12331272,M
PAFA,2020-01-03 11:53,-9.90,-16.10,73.31,0.00,0.00,0.00,29.75,1009.30,4.00,M,BKN,OVC,M,M,3500.00,7000.00,M,M,-SN BR,M,M,M,M,M,M,-9.90,PAFA 031153Z 00000KT 4SM -SN BR BKN035 OVC070 M23/M27 A2975 RMK AO2 SLP093 T12331267 11200 21256 50001,M
PAFA,2020-01-03 12:53,-11.90,-18.00,73.46,0.00,0.00,0.00,29.74,1009.00,9.00,M,SCT,BKN,M,M,3000.00,6500.00,M,M,-SN,M,M,M,M,M,M,-11.90,PAFA 031253Z 00000KT 9SM -SN SCT030 BKN065 M24/M28 A2974 RMK AO2 SLP090 PCPN VRY LGT T12441278,M
PAFA,2020-01-03 13:53,-14.10,-20.00,73.96,0.00,0.00,0.00,29.74,1008.90,9.00,M,SCT,BKN,M,M,3000.00,6000.00,M,M,-SN,M,M,M,M,M,M,-14.10,PAFA 031353Z 00000KT 9SM -SN SCT030 BKN060 M26/M29 A2974 RMK AO2 SLP089 PCPN VRY LGT T12561289,M
PAFA,2020-01-03 14:53,-17.00,-22.00,77.20,0.00,0.00,0.00,29.74,1008.90,10.00,M,FEW,SCT,M,M,3000.00,6500.00,M,M,M,M,M,M,M,M,M,-17.00,PAFA 031453Z 00000KT 10SM FEW030 SCT065 M27/M30 A2974 RMK AO2 SNE43 SLP089 T12721300 56005,M
PAFA,2020-01-03 15:53,-18.90,-25.10,72.24,0.00,0.00,0.00,29.73,1008.70,10.00,M,FEW,SCT,M,M,5000.00,12000.00,M,M,M,M,M,M,M,M,M,-18.90,PAFA 031553Z 00000KT 10SM FEW050 SCT120 M28/M32 A2973 RMK AO2 SLP087 T12831317,M
PAFA,2020-01-03 16:53,-20.00,-26.00,72.88,0.00,0.00,0.00,29.73,1008.70,10.00,M,FEW,SCT,M,M,5000.00,12000.00,M,M,M,M,M,M,M,M,M,-20.00,PAFA 031653Z 00000KT 10SM FEW050 SCT120 M29/M32 A2973 RMK AO2 SLP087 T12891322,M
PAFA,2020-01-03 17:53,-22.00,-27.90,73.04,0.00,0.00,0.00,29.74,1008.80,10.00,M,FEW,SCT,M,M,5000.00,11000.00,M,M,M,M,M,M,M,M,M,-22.00,PAFA 031753Z 00000KT 10SM FEW050 SCT110 M30/M33 A2974 RMK AO2 SLP088 T13001333 11233 21317 55000,M
PAFA,2020-01-03 18:53,-25.10,-29.90,77.18,0.00,0.00,0.00,29.75,1009.20,10.00,M,FEW,SCT,M,M,5000.00,11000.00,M,M,M,M,M,M,M,M,M,-25.10,PAFA 031853Z 00000KT 10SM FEW050 SCT110 M32/M34 A2975 RMK AO2 SLP092 T13171344,M
PAFA,2020-01-03 19:53,-20.90,-27.90,68.95,0.00,0.00,0.00,29.74,1008.90,10.00,M,FEW,SCT,M,M,5000.00,11000.00,M,M,M,M,M,M,M,M,M,-20.90,PAFA 031953Z 00000KT 10SM FEW050 SCT110 M29/M33 A2974 RMK AO2 SLP089 T12941333,M
PAFA,2020-01-03 20:53,-20.90,-27.00,72.38,0.00,0.00,0.00,29.73,1008.80,10.00,M,FEW,SCT,M,M,5000.00,11000.00,M,M,M,M,M,M,M,M,M,-20.90,PAFA 032053Z 00000KT 10SM FEW050 SCT110 M29/M33 A2973 RMK AO2 SLP088 T12941328 58001,M
PAFA,2020-01-03 21:53,-20.90,-27.90,68.95,0.00,0.00,0.00,29.73,1008.70,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,-20.90,PAFA 032153Z 00000KT 10SM R02L/3500VP6000FT SCT110 M29/M33 A2973 RMK AO2 SLP087 T12941333,M
PAFA,2020-01-03 22:53,-20.90,-26.00,76.38,0.00,0.00,0.00,29.72,1008.20,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,-20.90,PAFA 032253Z 00000KT 10SM SCT110 M29/M32 A2972 RMK AO2 SLP082 T12941322,M
PAFA,2020-01-03 23:53,-22.00,-29.00,68.80,0.00,0.00,0.00,29.71,1008.20,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,-22.00,PAFA 032353Z 00000KT 10SM FEW110 M30/M34 A2971 RMK AO2 SLP082 T13001339 11289 21317 58006,M
PAFA,2020-01-04 00:53,-25.10,-31.00,72.66,0.00,0.00,0.00,29.71,1008.00,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,-25.10,PAFA 040053Z 00000KT 10SM FEW110 M32/M35 A2971 RMK AO2 SLP080 T13171350,M
PAFA,2020-01-04 01:53,-26.00,-32.00,71.75,0.00,0.00,0.00,29.71,1008.00,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,-26.00,PAFA 040153Z 00000KT 10SM FEW110 M32/M36 A2971 RMK AO2 SLP080 T13221356,M
PAFA,2020-01-04 02:53,-29.00,-35.00,71.77,0.00,0.00,0.00,29.71,1008.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-29.00,PAFA 040253Z 00000KT 10SM CLR M34/M37 A2971 RMK AO2 SLP082 T13391372 55002,M
PAFA,2020-01-04 03:53,-27.90,-34.00,71.11,0.00,0.00,0.00,29.71,1008.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-27.90,PAFA 040353Z 00000KT 10SM CLR M33/M37 A2971 RMK AO2 SLP082 T13331367,M
PAFA,2020-01-04 04:53,-29.00,-35.00,71.77,0.00,0.00,0.00,29.71,1008.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-29.00,PAFA 040453Z 00000KT 10SM CLR M34/M37 A2971 RMK AO2 SLP082 T13391372,M
PAFA,2020-01-04 05:53,-29.90,M,M,0.00,0.00,0.00,29.70,1007.90,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,PAFA 040553Z 00000KT 9SM CLR M34/ A2970 RMK AO2 SLP079 T1344 11294 21350 58004,M
PAFA,2020-01-04 06:53,-32.00,M,M,0.00,0.00,0.00,29.70,1008.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,PAFA 040653Z 00000KT 10SM CLR M36/ A2970 RMK AO2 SLP081 T1356,M
PAFA,2020-01-04 07:53,-29.00,-37.00,64.47,0.00,0.00,0.00,29.69,1007.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-29.00,PAFA 040753Z 00000KT 10SM CLR M34/M38 A2969 RMK AO2 SLP076 T13391383,M
PAFA,2020-01-04 08:53,-32.00,M,M,0.00,0.00,0.00,29.69,1007.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,PAFA 040853Z 00000KT 10SM CLR M36/ A2969 RMK AO2 SLP076 T1356 412331361 58003,M
PAFA,2020-01-04 09:53,-32.00,M,M,0.00,0.00,0.00,29.70,1007.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,PAFA 040953Z 00000KT 10SM CLR M36/ A2970 RMK AO2 SLP079 T1356,M
PAFA,2020-01-04 10:53,-32.00,M,M,0.00,0.00,0.00,29.71,1008.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,PAFA 041053Z 00000KT 10SM CLR M36/ A2971 RMK AO2 SLP084 T1356,M
PAFA,2020-01-04 11:53,-29.90,M,M,0.00,0.00,0.00,29.72,1008.60,3.00,M,SCT,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,M,PAFA 041153Z 00000KT 3SM BR SCT002 M34/ A2972 RMK AO2 SLP086 SCT002 PWR PLNT VIS HYR E-S AND SW-NW T1344 11333 21361 51009 $,M
